ID	Restore6_1	Restore6_2	Restore6_3	Restore6_4	Restore9_1	Restore9_2	Restore9_3	Restore9_4	Abundance	Kindom
BACasv258	0.000443284	0.001512002	0	0.001218539	0	0	0.003772603	0.003747262	0.133671125	Bac
BACasv259	0.000492538	0	0.00057006	0.000504223	0	0	0.001691167	0.001844806	0.063784925	Bac
BACasv260	0	0	0	0	0	0.000594722	0	0	0.007434025	Bac
BACasv261	0	0	0	0	0.000900233	0	0	0	0.011252913	Bac
BACasv262	0.00517165	0.005745606	0.004332459	0.005168284	0	0	0	0.001325954	0.271799413	Bac
BACasv263	0.000738807	0.001134001	0.002109224	0.002395059	0	0	0	0	0.079713638	Bac
BACasv264	0.000541792	0.0002646	0	0	0	0	0.003382334	0.006860371	0.138113713	Bac
BACasv266	0.002758213	0	0	0	0	0	0	0	0.034477663	Bac
BACasv267	0	0	0	0	0.001588646	0.001833726	0	0	0.04277965	Bac
BACasv268	0	0	0	0	0.001588646	0.000644282	0	0	0.0279116	Bac
BACasv269	0	0	0	0	0	0	0	0.00322841	0.040355125	Bac
BACasv270	0	0	0	0	0	0.000842523	0	0	0.010531538	Bac
BACasv272	0.003546274	0.002986203	0	0.00088239	0	0	0.001430987	0.00322841	0.1509283	Bac
BACasv273	0.003546274	0.002646003	0.003135332	0.001890836	0	0	0	0.007090972	0.228867713	Bac
BACasv274	0.000738807	0.002419202	0.003819405	0.004495987	0	0	0	0	0.143417513	Bac
BACasv275	0.001920898	0.002835003	0.002223236	0.005168284	0	0	0	0	0.151842763	Bac
BACasv276	0	0	0	0	0.002912519	0	0	0	0.036406488	Bac
BACasv277	0.001132838	0	0	0.000672297	0	0	0.003967738	0.001325954	0.088735338	Bac
BACasv278	0.001182091	0.002079002	0.002394254	0.001806799	0	0	0.004423052	0.00317076	0.188199475	Bac
BACasv279	0.005713441	0.001625402	0.000912097	0.00088239	0	0	0	0	0.114166625	Bac
BACasv280	0.007388071	0.011982612	0.003420363	0.004832136	0	0	0	0	0.345289775	Bac
