label	Kindom	Abundance
BACasv374	Bac	0.015602138
BACasv375	Bac	0.0540895
BACasv376	Bac	0.131239163
BACasv377	Bac	0.066961013
BACasv378	Bac	0.092569763
BACasv379	Bac	0.011770538
BACasv380	Bac	0.062820775
BACasv381	Bac	0.030896313
BACasv382	Bac	0.030896313
BACasv383	Bac	0.1344977
BACasv384	Bac	0.032108838
BACasv385	Bac	0.054727163
BACasv386	Bac	0.032897725
BACasv387	Bac	0.051193513
BACasv389	Bac	0.018487475
BACasv390	Bac	0.07153885
BACasv391	Bac	0.1425809
BACasv392	Bac	0.113509675
BACasv393	Bac	0.083179325
BACasv394	Bac	0.030083263
BACasv395	Bac	0.036642625
BACasv396	Bac	0.026663213
BACasv397	Bac	0.00123875
BACasv398	Bac	0.006195025
BACasv400	Bac	0.040962938
BACasv401	Bac	0.0330175
BACasv402	Bac	0.067863575
BACasv404	Bac	0.113376588
BACasv405	Bac	0.0292702
BACasv406	Bac	0.054316438
BACasv407	Bac	0.10541235
BACasv408	Bac	0.0587325
BACasv410	Bac	0.00378
BACasv411	Bac	0.004956013
BACasv412	Bac	0.003097513
BACasv413	Bac	0.009547125
BACasv414	Bac	0.04348305
BACasv415	Bac	0.082733438
BACasv416	Bac	0.108168338
BACasv417	Bac	0.051507888
BACasv418	Bac	0.059776325
BACasv419	Bac	0.033030638
BACasv420	Bac	0.077843638
BACasv421	Bac	0.030580075
BACasv422	Bac	0.067461463
BACasv424	Bac	0.034676125
BACasv426	Bac	0.008605163
BACasv427	Bac	0.016065013
BACasv428	Bac	0.010531538
BACasv429	Bac	0.004615738
BACasv430	Bac	0.007434025
BACasv432	Bac	0.050079238
BACasv433	Bac	0.03514705
BACasv434	Bac	0.038085925
BACasv435	Bac	0.042755113
BACasv436	Bac	0.09157785
BACasv437	Bac	0.0992405
BACasv440	Bac	0.00932225
BACasv441	Bac	0.007838325
BACasv442	Bac	0.007858113
BACasv443	Bac	0.048820725
BACasv445	Bac	0.05185345
BACasv446	Bac	0.046290888
BACasv447	Bac	0.024539013
BACasv448	Bac	0.031092588
BACasv449	Bac	0.00154875
BACasv450	Bac	0.006674513
BACasv451	Bac	0.01191485
BACasv452	Bac	0.06324715
BACasv453	Bac	0.08189185
BACasv455	Bac	0.021406888
BACasv456	Bac	0.038540363
BACasv457	Bac	0.103109125
BACasv458	Bac	0.136808925
BACasv461	Bac	0.00189
BACasv462	Bac	0.002137725
BACasv463	Bac	0.046280025
BACasv464	Bac	0.052333688
BACasv465	Bac	0.071592563
BACasv467	Bac	0.0158538
BACasv468	Bac	0.075723175
BACasv469	Bac	0.020898188
BACasv471	Bac	0.017238838
BACasv472	Bac	0.199525263
BACasv473	Bac	0.0147065
BACasv474	Bac	0.031507675
BACasv475	Bac	0.045690825
BACasv476	Bac	0.022765713
BACasv478	Bac	0.04569515
BACasv479	Bac	0.052674425
