label	Kindom	Abundance
FUNasv48	Fun	0.019700363
FUNasv49	Fun	0.121745663
FUNasv51	Fun	0.474517375
FUNasv52	Fun	2.399407188
FUNasv53	Fun	0.720525513
FUNasv54	Fun	0.581943438
FUNasv55	Fun	0.054099825
FUNasv57	Fun	0.005242238
FUNasv58	Fun	0.434135488
FUNasv61	Fun	0.405526388
FUNasv62	Fun	0.223298263
FUNasv63	Fun	0.150637188
FUNasv66	Fun	0.016029838
FUNasv67	Fun	0.612292463
FUNasv68	Fun	0.366689225
FUNasv69	Fun	0.021591313
FUNasv71	Fun	0.114837088
FUNasv73	Fun	0.015809775
FUNasv74	Fun	0.00449335
FUNasv75	Fun	0.51227885
FUNasv76	Fun	0.704968863
FUNasv77	Fun	0.29113235
FUNasv78	Fun	0.033359813
FUNasv79	Fun	0.001372963
FUNasv80	Fun	0.480000913
FUNasv81	Fun	0.420089075
FUNasv82	Fun	0.005367063
FUNasv83	Fun	0.003841125
FUNasv84	Fun	0.097989888
FUNasv85	Fun	0.044034363
FUNasv86	Fun	0.07205805
FUNasv87	Fun	0.086316463
FUNasv88	Fun	0.209210138
FUNasv89	Fun	0.272231563
FUNasv90	Fun	0.091113288
FUNasv91	Fun	0.44039705
FUNasv92	Fun	0.085745738
FUNasv93	Fun	0.0625002
FUNasv94	Fun	0.002719763
FUNasv95	Fun	0.00285875
FUNasv96	Fun	0.4189877
FUNasv97	Fun	0.018001
FUNasv98	Fun	0.210525075
FUNasv100	Fun	0.0042982
FUNasv101	Fun	0.046588575
FUNasv102	Fun	0.153782113
FUNasv103	Fun	0.062205463
FUNasv106	Fun	0.0331315
FUNasv107	Fun	0.035370163
FUNasv108	Fun	0.002745938
FUNasv110	Fun	0.012230163
FUNasv111	Fun	0.00833325
FUNasv112	Fun	0.061145125
FUNasv113	Fun	0.0047974
FUNasv114	Fun	0.005458875
FUNasv115	Fun	0.023846888
FUNasv116	Fun	0.001225
FUNasv117	Fun	0.166966825
FUNasv118	Fun	0.011045588
FUNasv119	Fun	0.048206475
FUNasv120	Fun	0.029263025
FUNasv121	Fun	0.006697275
FUNasv122	Fun	0.104007525
FUNasv123	Fun	0.015002288
FUNasv124	Fun	0.023202413
FUNasv125	Fun	0.017957113
FUNasv127	Fun	0.036668538
FUNasv128	Fun	0.05928665
FUNasv129	Fun	0.01302645
FUNasv130	Fun	0.034856025
FUNasv131	Fun	0.006601138
FUNasv132	Fun	0.152934313
FUNasv134	Fun	0.004243725
FUNasv136	Fun	0.019027875
FUNasv137	Fun	0.00194125
FUNasv138	Fun	0.167827625
FUNasv139	Fun	0.112559013
FUNasv140	Fun	0.12470165
FUNasv141	Fun	0.022788188
