ASVID	Arable6_1	Arable6_2	Arable6_3	Arable6_4	Arable9_1	Arable9_2	Arable9_3	Arable9_4	Class	Abundance
FUNasv232	9.99E-05	6.10E-05	0	0	0	0	0	0	Eurotiomycetes	2.01E-05
FUNasv235	7.99E-05	0.000500055	0.000510887	0.00060439	0	0	0	0	Sordariomycetes	0.000211902
FUNasv237	8.99E-05	0	4.14E-05	0.000241756	0	0	0	0	Tremellomycetes	4.66E-05
FUNasv238	0.000199704	0	0.00012427	0	0	0	0	0	Sordariomycetes	4.05E-05
FUNasv241	0.000239645	7.32E-05	6.90E-05	0	0	0	0	0	Dothideomycetes	4.77E-05
FUNasv243	0.000559172	0.000219536	9.67E-05	0	0	0	0	0	Pezizomycetes	0.00010942
FUNasv245	0.000119823	6.10E-05	0	0	0	0	0	0	Sordariomycetes	2.26E-05
FUNasv248	0.000129808	0	0	0	0	0	0	0	Sordariomycetes	1.62E-05
FUNasv249	0.000269601	0.000109768	0	8.46E-05	0.000614048	0	0	5.96E-05	Laboulbeniomycetes	0.000142206
FUNasv250	9.99E-05	0	5.52E-05	8.46E-05	0	0	0	0	Sordariomycetes	3.00E-05
FUNasv252	0.000339498	0.000353697	0.000179501	0.000447249	0	0	0	0	Leotiomycetes	0.000164993
FUNasv254	0.00089867	0.000390287	0.000952736	0.00027802	8.50E-05	5.59E-05	2.54E-05	8.35E-05	Eurotiomycetes	0.000346181
FUNasv256	0.000559172	0	0.00012427	0	0	0	0	0	Dothideomycetes	8.54E-05
FUNasv257	0	0.000146358	0.000414233	8.46E-05	0.000897454	0.000368645	0.000355547	0.00029808	Glomeromycetes	0.000320616
FUNasv258	0	0.000402483	0	3.63E-05	0	0	0	0	Sordariomycetes	5.48E-05
FUNasv259	0.000189719	0.000573234	0.00037281	0.000314283	0	0	0	0	Dothideomycetes	0.000181256
FUNasv268	0.000319527	0.000268322	0	0.000435161	0	0	0	0	Sordariomycetes	0.000127876
FUNasv269	0.000269601	0.00041468	0.000193309	0.000193405	4.72E-05	0	0	0.000107309	Sordariomycetes	0.000153192
FUNasv270	0.000389424	0.00020734	0.000303771	0.000362634	0	0	0	0	Pezizomycetes	0.000157896
FUNasv272	0.000599113	0.001439182	0.000510887	0.000290107	0	0	0	0.000178848	Dothideomycetes	0.000377267
FUNasv276	0.000199704	0.000439073	0.000110462	0	0.000358982	0	0.000101585	0	Glomeromycetes	0.000151226
FUNasv277	0.000139793	4.88E-05	0	0.00010879	0.000670729	0.001251159	0.000241264	0.000155002	Sordariomycetes	0.00032694
FUNasv279	0	0	0	0	0	0	0	0.000178848	Eurotiomycetes	2.24E-05
FUNasv287	0.000149778	8.54E-05	0	0	0	0	0	0	Dothideomycetes	2.94E-05
FUNasv289	0.000199704	7.32E-05	0.000179501	0.000302195	0	0	0	0	Sordariomycetes	9.43E-05
FUNasv290	0.000159764	0	0	0	0	0	0	0	Sordariomycetes	2.00E-05
FUNasv291	0	0	0	0	0.001228095	7.82E-05	5.08E-05	0	Eurotiomycetes	0.000169636
FUNasv295	0.000309542	0.000109768	0.000276155	0.000290107	0	0	3.81E-05	0	Dothideomycetes	0.000127958
FUNasv296	0	0	0	0	0.000141703	0.000145224	0.000126981	3.58E-05	Agaricomycetes	5.62E-05
FUNasv298	0.000559172	0.000329304	0	0	0	0	0	0	Dothideomycetes	0.00011106
FUNasv299	0	0	0	0	0	0	0	0.001490402	Sordariomycetes	0.0001863
FUNasv300	5.99E-05	6.10E-05	6.90E-05	6.04E-05	0	0	0	2.38E-05	Dothideomycetes	3.43E-05
FUNasv301	0	0	0	0	0.000340088	0.000290448	0.000393641	0.001216168	Rhizophydiomycetes	0.000280043
FUNasv308	4.99E-05	0	0.000331386	0.000785707	0	0	0	0	Sordariomycetes	0.000145877
FUNasv309	0	0	0	0	0.000954135	0	0	0.000107309	Eurotiomycetes	0.000132681
FUNasv310	0	0	0	0	0.000595154	0	6.35E-05	0	Agaricomycetes	8.23E-05
FUNasv313	0	0	0	0	0.000812432	0	0	0	Geminibasidiomycetes	0.000101554
FUNasv317	0	0	0	4.84E-05	7.56E-05	0.00010054	0.000584112	0	Dothideomycetes	0.000101072
FUNasv319	8.99E-05	9.76E-05	0.000207117	0.000145054	0	0	0	0	Dothideomycetes	6.75E-05
FUNasv321	0.000329512	0	0	0	0	0	0	0	Classiculomycetes	4.12E-05
FUNasv322	0	0.000195143	0	0	0	0	0	0	Dothideomycetes	2.44E-05
FUNasv325	0	0	0	0.00010879	0.000113363	0.000513869	0.000419037	0	Eurotiomycetes	0.000144382
FUNasv328	0.000139793	6.10E-05	0.000207117	4.84E-05	0	0	0	0	Dothideomycetes	5.70E-05
FUNasv329	0	0	0	0	0.000925795	0	0	0	Saccharomycetes	0.000115724
FUNasv330	0.000289571	0.000597627	5.52E-05	4.84E-05	0.000538472	0.000145224	0	0	Agaricomycetes	0.00020931
FUNasv332	0	0	0.000110462	0	0	0	0	0	Eurotiomycetes	1.38E-05
FUNasv334	0.000389424	0	0.000538503	0.00038681	9.45E-05	0	5.08E-05	9.54E-05	GS13	0.000194423
FUNasv335	0	0	0	0.00010879	0	0	0	0	Sordariomycetes	1.36E-05
FUNasv336	0.000179734	0	0	0.000157141	0	0	0	0	Sordariomycetes	4.21E-05
FUNasv338	0	0.00017075	0	0	0	0	0	0	Dothideomycetes	2.13E-05
FUNasv339	6.99E-05	0.000109768	0	8.46E-05	0	0	0	0	Leotiomycetes	3.30E-05
FUNasv340	0	0	0	6.04E-05	0.000529026	0.000111711	0	0.000321927	Dothideomycetes	0.000127888
