label	Class	Abundance
FUNasv416	Sordariomycetes	6.51E-05
FUNasv417	Sordariomycetes	4.05E-05
FUNasv419	Sordariomycetes	5.08E-05
FUNasv421	Leotiomycetes	1.52E-05
FUNasv422	Dothideomycetes	2.91E-05
FUNasv423	Dothideomycetes	3.57E-05
FUNasv424	Sordariomycetes	2.30E-05
FUNasv426	Leotiomycetes	2.96E-05
FUNasv428	Sordariomycetes	4.48E-05
FUNasv429	Eurotiomycetes	4.06E-05
FUNasv435	Sordariomycetes	1.53E-05
FUNasv436	Agaricomycetes	2.72E-05
FUNasv439	Saccharomycetes	3.57E-05
FUNasv440	Sordariomycetes	3.90E-05
FUNasv441	Glomeromycetes	4.80E-05
FUNasv442	Sordariomycetes	4.78E-05
FUNasv443	Pezizomycetes	4.67E-05
FUNasv446	Agaricomycetes	3.58E-05
FUNasv447	Dothideomycetes	7.14E-05
FUNasv448	Sordariomycetes	8.79E-05
FUNasv449	Eurotiomycetes	4.14E-05
FUNasv450	Eurotiomycetes	3.69E-05
FUNasv455	Leotiomycetes	3.41E-05
FUNasv456	Dothideomycetes	5.24E-05
FUNasv457	Dothideomycetes	3.47E-05
FUNasv458	Sordariomycetes	4.41E-05
FUNasv459	Agaricomycetes	1.35E-05
FUNasv460	Sordariomycetes	3.39E-05
FUNasv462	Eurotiomycetes	4.35E-05
FUNasv464	Sordariomycetes	2.75E-05
FUNasv465	Sordariomycetes	2.16E-05
FUNasv466	Spizellomycetes	2.19E-05
FUNasv468	Tremellomycetes	2.83E-05
FUNasv470	Sordariomycetes	6.10E-05
FUNasv471	Spizellomycetes	6.19E-05
FUNasv472	Agaricomycetes	3.83E-05
FUNasv476	Tremellomycetes	2.32E-05
FUNasv478	Glomeromycetes	4.98E-05
FUNasv481	Leotiomycetes	3.34E-05
FUNasv482	Agaricomycetes	4.79E-05
FUNasv484	Sordariomycetes	2.57E-05
FUNasv486	Sordariomycetes	2.97E-05
FUNasv487	Sordariomycetes	3.58E-05
FUNasv489	Dacrymycetes	3.19E-05
FUNasv490	Agaricomycetes	5.16E-05
FUNasv492	Dothideomycetes	3.10E-05
FUNasv495	Sordariomycetes	3.18E-05
FUNasv496	Dothideomycetes	4.01E-05
FUNasv497	Pezizomycetes	2.52E-05
FUNasv498	Agaricomycetes	3.06E-05
FUNasv499	Sordariomycetes	9.34E-05
FUNasv500	Eurotiomycetes	1.83E-05
FUNasv502	Glomeromycetes	4.11E-05
FUNasv503	Dothideomycetes	1.65E-05
FUNasv504	Eurotiomycetes	1.68E-05
FUNasv505	Agaricomycetes	4.70E-05
FUNasv506	Sordariomycetes	3.35E-05
FUNasv507	Agaricomycetes	2.54E-05
FUNasv509	Sordariomycetes	3.01E-05
FUNasv511	Sordariomycetes	4.37E-05
FUNasv517	Dothideomycetes	2.03E-05
FUNasv518	Sordariomycetes	1.83E-05
FUNasv522	Agaricomycetes	2.09E-05
FUNasv523	Orbiliomycetes	2.47E-05
FUNasv525	Pezizomycotina	2.51E-05
FUNasv526	Sordariomycetes	2.91E-05
FUNasv527	Archaeorhizomycetes	2.91E-05
FUNasv530	Dothideomycetes	1.55E-05
FUNasv531	Chytridiomycetes	2.60E-05
FUNasv532	Dothideomycetes	2.34E-05
FUNasv533	Dothideomycetes	1.36E-05
